Date,"Student Username",Lesson,WPM,Accuracy,Errors
11/13/2023,demo_student,"1. J and F keys",34,93%,4
12/10/2023,demo_student,"38. The V key",35,93%,8
12/15/2023,demo_student,"1. J and F keys",30,96%,2
12/15/2023,demo_student,"1. J and F keys",16,92%,5
12/15/2023,demo_student,"61. Comma",18,92%,11
12/15/2023,demo_student,"61. Comma",36,87%,19
12/20/2023,demo_student,"01. The Right Hand",60,96%,2
01/23/2024,demo_student,"A fun lesson",48,80%,1
01/23/2024,demo_student,"A fun lesson",48,100%,0
01/23/2024,demo_student,"A fun lesson",16,100%,0
02/22/2024,demo_student,"Mini Review",19,93%,3
02/22/2024,demo_student,"62. Food with Commas",28,96%,5
03/12/2024,demo_student,"1. J and F keys",18,90%,6
04/11/2024,demo_student,"01. The Right Hand",37,93%,4
04/11/2024,demo_student,"01. The Right Hand",60,91%,5
04/11/2024,demo_student,,44,93%,4
04/11/2024,demo_student,,44,98%,1
04/11/2024,demo_student,,42,95%,3
04/11/2024,demo_student,,44,95%,3
04/11/2024,demo_student,,30,86%,9
04/11/2024,demo_student,"01. The Right Hand",29,96%,3
04/11/2024,demo_student,"05. The E Key",47,99%,1
04/18/2024,demo_student,"01. The Right Hand",44,94%,3
04/18/2024,demo_student,"01. The Right Hand",4,94%,3
04/18/2024,demo_student,,55,96%,2
04/18/2024,demo_student,"01. The Right Hand",60,98%,1
05/06/2024,demo_student,"01. The Right Hand",51,91%,5
05/06/2024,demo_student,"01. The Right Hand",26,93%,4
05/06/2024,demo_student,"01. The Right Hand",66,98%,1
05/06/2024,demo_student,"School for the Blind curriculum",56,97%,1
05/06/2024,demo_student,"Mini Review",53,97%,2
05/06/2024,demo_student,"01. The Right Hand",52,98%,1
05/06/2024,demo_student,"01. The Right Hand",41,93%,5
05/06/2024,demo_student,"01. The Right Hand",45,97%,2
05/06/2024,demo_student,"1. J and F keys",42,98%,1
05/06/2024,demo_student,"1. J and F keys",32,95%,3
05/06/2024,demo_student,"1. J and F keys",35,98%,1
05/06/2024,demo_student,"1. J and F keys",44,96%,2
05/07/2024,demo_student,"01. The Right Hand",45,92%,6
05/07/2024,demo_student,"IAER 2019",33,100%,0
05/07/2024,demo_student,"A fun lesson",24,100%,0
05/07/2024,demo_student,"A fun lesson",24,100%,0
05/07/2024,demo_student,"A fun lesson",48,100%,0
05/07/2024,demo_student,"A fun lesson",10,30%,9
05/07/2024,demo_student,"A fun lesson",16,23%,13
05/07/2024,demo_student,"A fun lesson",16,40%,6
05/07/2024,demo_student,"A fun lesson",12,33%,8
05/07/2024,demo_student,"A fun lesson",24,44%,5
05/07/2024,demo_student,"A fun lesson",12,28%,10
05/07/2024,demo_student,"A fun lesson",24,57%,3
05/07/2024,demo_student,"A fun lesson",24,57%,3
05/07/2024,demo_student,"A fun lesson",16,36%,7
05/07/2024,demo_student,"A fun lesson",48,100%,0
05/07/2024,demo_student,"A fun lesson",12,36%,7
05/07/2024,demo_student,"A fun lesson",16,40%,6
05/07/2024,demo_student,"A fun lesson",16,100%,0
05/07/2024,demo_student,"A fun lesson",12,18%,18
05/07/2024,demo_student,"A fun lesson",16,16%,21
05/07/2024,demo_student,"A fun lesson",16,40%,6
05/07/2024,demo_student,"A fun lesson",24,44%,5
05/07/2024,demo_student,"A fun lesson",16,36%,7
05/07/2024,demo_student,"A fun lesson",16,40%,6
05/07/2024,demo_student,"A fun lesson",24,33%,8
05/07/2024,demo_student,"A fun lesson",48,30%,9
05/07/2024,demo_student,"A fun lesson",16,40%,6
05/07/2024,demo_student,"A fun lesson",12,14%,23
05/18/2024,demo_student,"1. J and F keys",34,95%,3
05/20/2024,demo_student,"A fun lesson",48,40%,6
05/20/2024,demo_student,"A fun lesson",16,50%,4
05/20/2024,demo_student,"A fun lesson",16,80%,1
06/03/2024,demo_student,"01. The Right Hand",51,98%,1
06/17/2024,demo_student,"63. Period",38,99%,1
06/17/2024,demo_student,"64. Random Phrases",51,97%,3
06/17/2024,demo_student,"65. Question Mark",27,95%,5
06/17/2024,demo_student,"66. Just Some Questions",39,97%,3
06/17/2024,demo_student,"67. Apostrophe",31,91%,13
06/20/2024,demo_student,"01. The Right Hand",43,96%,3
06/20/2024,demo_student,"01. The Right Hand",47,98%,1
06/20/2024,demo_student,"01. The Right Hand",39,89%,9
06/20/2024,demo_student,"01. The Right Hand",52,93%,5
06/25/2024,demo_student,"01. The Right Hand",45,90%,8
06/25/2024,demo_student,"01. The Right Hand",43,95%,4
06/25/2024,demo_student,"02. The Left Hand",55,97%,2
06/25/2024,demo_student,"A fun lesson",48,100%,0
06/25/2024,demo_student,"A fun lesson",24,80%,1
06/25/2024,demo_student,"A fun lesson",48,80%,1
06/25/2024,demo_student,"A fun lesson",24,80%,1
06/25/2024,demo_student,"A fun lesson",24,80%,1
06/25/2024,demo_student,"A fun lesson",16,80%,1
06/25/2024,demo_student,"A fun lesson",8,50%,4
06/25/2024,demo_student,"A fun lesson",4,80%,1
06/25/2024,demo_student,"A fun lesson",48,100%,0
06/26/2024,demo_student,"A fun lesson",24,80%,1
06/26/2024,demo_student,"A fun lesson",48,80%,1
06/26/2024,demo_student,"04. The I Key",26,97%,3
06/28/2024,demo_student,"Mini Review",3,98%,1
07/01/2024,demo_student,"68. Names and Apostrophes",47,96%,6
07/01/2024,demo_student,"69. Why?",49,95%,13
07/01/2024,demo_student,"70. Mixed Sentences",55,99%,1
07/01/2024,demo_student,"71. The 1 key",66,98%,4
07/01/2024,demo_student,"71. The 1 key",64,95%,10
07/01/2024,demo_student,"72. The 2 key",52,92%,21
07/01/2024,demo_student,"1. J and F keys",39,90%,6
07/01/2024,demo_student,"2. K and D keys",44,98%,1
07/01/2024,demo_student,"3. JFKD Practice",34,90%,8
07/01/2024,demo_student,"4. L and S keys",47,96%,2
07/01/2024,demo_student,"5. JFKDLS Practice",33,86%,12
07/01/2024,demo_student,"6. A and ; keys",39,93%,5
07/01/2024,demo_student,"7. Full Home Row",31,86%,13
07/01/2024,demo_student,"8. Right Hand Home Row",51,85%,9
07/01/2024,demo_student,"9. Left Hand Home Row",62,93%,5
07/02/2024,demo_student,"Mini Review",36,97%,1
07/02/2024,demo_student,"01. The Right Hand",60,96%,2
07/02/2024,demo_student,"01. The Right Hand",51,80%,13
07/02/2024,demo_student,"10. Home Row Review",40,89%,16
07/09/2024,demo_student,"01. The Right Hand",33,79%,14
07/10/2024,demo_student,"01. The Right Hand",66,98%,1
07/10/2024,demo_student,"01. The Right Hand",66,96%,2
07/10/2024,demo_student,"01. The Right Hand",51,94%,3
07/10/2024,demo_student,"01. The Right Hand",60,94%,3
07/10/2024,demo_student,"1. J and F keys",37,93%,4
07/10/2024,demo_student,"01. The Right Hand",60,98%,1
07/10/2024,demo_student,"01. The Right Hand",15,100%,0
07/18/2024,demo_student,"Home Row Only",40,91%,10
07/23/2024,demo_student,"11. The I key",14,89%,20
07/27/2024,demo_student,"11. The I key",33,95%,8
07/27/2024,demo_student,"01. The Right Hand",4,93%,4
07/27/2024,demo_student,"02. The Left Hand",38,98%,1
07/27/2024,demo_student,"02. The Left Hand",42,91%,6
07/27/2024,demo_student,"A fun lesson",48,100%,0
07/27/2024,demo_student,"02. The Left Hand",32,98%,1
07/27/2024,demo_student,"02. The Left Hand",27,97%,2
07/27/2024,demo_student,"02. The Left Hand",27,100%,0
07/27/2024,demo_student,"A fun lesson",10,66%,2
07/27/2024,demo_student,"A fun lesson",8,28%,10
07/27/2024,demo_student,"02. The Left Hand",38,90%,7
07/28/2024,demo_student,,49,96%,12
07/28/2024,demo_student,"1. J and F keys",24,98%,1
07/29/2024,demo_student,"Free Type",1,100%,0
07/31/2024,demo_student,"Free Type",1,,0
07/31/2024,demo_student,"Free Type",1,,0
08/01/2024,demo_student,"12. I words",20,97%,1
08/05/2024,demo_student,"A fun lesson",48,100%,0
08/13/2024,demo_student,"A fun lesson",48,100%,0
08/27/2024,demo_student,"01. The Right Hand",39,90%,6
08/27/2024,demo_student,"01. The Right Hand",73,98%,1
09/04/2024,demo_student,"1. J and F keys",11,88%,8
09/11/2024,demo_student,"01. The Right Hand",39,90%,8
09/11/2024,demo_student,"02. The Left Hand",52,91%,8
09/11/2024,demo_student,"1. J and F keys",44,95%,3
09/11/2024,demo_student,"1. J and F keys",42,100%,0
09/16/2024,demo_student,"2. K and D keys",16,95%,3
09/16/2024,demo_student,"Mini Review",24,100%,0
09/24/2024,demo_student,"Home Row Only",16,83%,22
09/24/2024,demo_student,"13. The E key",26,98%,3
09/25/2024,demo_student,"14. Short Phrases",28,97%,3
10/02/2024,demo_student,"A fun lesson",16,80%,1
10/02/2024,demo_student,"Touching Spirit Bear",72,91%,12
10/15/2024,demo_student,"1. J and F keys",39,89%,7
10/21/2024,demo_student,"1. J and F keys",18,96%,2
10/29/2024,demo_student,"Home Row Only",36,89%,13
10/29/2024,demo_student,"1. J and F keys",35,96%,2
10/29/2024,demo_student,"1. J and F keys",32,100%,0
10/29/2024,demo_student,"15. I E Crazy",39,96%,2
10/29/2024,demo_student,"16. The H key",53,94%,12
11/04/2024,demo_student,"1. J and F keys",17,95%,3
11/04/2024,demo_student,"A fun lesson",12,100%,0
11/05/2024,demo_student,"18. The G key",36,96%,8
11/05/2024,demo_student,"Left Hand Only 2",1,94%,8
11/12/2024,demo_student,"Number Punctuation 3",5,96%,5
11/18/2024,demo_student,"A fun lesson",3,44%,5
01/03/2025,demo_student,"01. The Right Hand",66,93%,4
01/09/2025,demo_student,"01. The Right Hand",55,91%,5
01/14/2025,demo_student,"01. The Right Hand",51,93%,4
01/14/2025,demo_student,"01. The Right Hand",30,76%,17
01/29/2025,demo_student,"30. Medium Reach Review",62,98%,3
01/29/2025,demo_student,"Top Row Only 1",32,95%,4
02/06/2025,demo_student,"1. J and F keys",16,96%,2
03/12/2025,demo_student,"1. J and F keys",20,93%,4
04/18/2025,demo_student,"Test Title",29,80%,3
04/18/2025,demo_student,"Test Title",48,92%,1
04/18/2025,demo_student,"L24 - 29 wpm - 3 min",323,99%,2
05/01/2025,demo_student,"19. G and H Practice",34,92%,8
05/01/2025,demo_student,"1. J and F keys",42,89%,7
05/01/2025,demo_student,"01. The Right Hand",35,85%,9
05/01/2025,demo_student,"01. The Right Hand",66,91%,5
05/01/2025,demo_student,"A fun lesson",10,33%,8
05/01/2025,demo_student,"Free Type",120,100%,0
05/02/2025,demo_student,"New Jersey",64,100%,0
05/02/2025,demo_student,"New Jersey",14,100%,0
05/02/2025,demo_student,"1. J and F keys",25,89%,7
05/16/2025,demo_student,"New Jersey",12,100%,0
06/11/2025,demo_student,"20. Easy Reach Review",51,80%,41
08/01/2025,demo_student,fruit,23,87%,3
08/01/2025,demo_student,"Mini Review",22,97%,1
08/01/2025,demo_student,"1. J and F keys",7,90%,6
08/01/2025,demo_student,"Home Row Only",19,89%,13
09/10/2025,demo_student,"3. JFKD Practice",8,80%,19
08/01/2024,update_basic_braille,"01. Letters A and B",10,100%,0
08/02/2024,update_basic_braille,"02. Letter C",16,85%,5
08/02/2024,update_basic_braille,"03. Letter D",15,95%,2
08/02/2024,update_basic_braille,"04. Letter E",14,91%,5
08/02/2024,update_basic_braille,"03. Letter D",16,95%,2
08/02/2024,update_basic_braille,"05. Letter F",18,97%,3
08/02/2024,update_basic_braille,"06. Letter G",14,78%,34
08/08/2024,update_basic_braille,"Free Type",1,3%,0
08/08/2024,update_basic,"Mini Review",14,90%,2
08/01/2024,update_basic,"1. J and F keys",20,92%,5
